Num_Features,k,F1_Validation
38,9,0.489547526616049
38,11,0.4896562807678687
38,13,0.4909094328426443
38,15,0.49715414062499935
39,1,0.4876171613552063
39,3,0.4772285289012476
39,5,0.48792782577992266
39,7,0.47964845856417976
39,9,0.4877376974559455
39,11,0.4868919389836138
39,13,0.49324348977083454
39,15,0.5002012248948512
40,1,0.4874296437737968
40,3,0.48416627969836296
40,5,0.49084298461319403
40,7,0.48619267193803256
40,9,0.48931340944599666
40,11,0.4885011725307696
40,13,0.487256949753462
40,15,0.49148129764460563
41,1,0.4795136500540755
41,3,0.47519255483619344
41,5,0.4869943368277965
41,7,0.48111070565982067
41,9,0.48663189227907333
41,11,0.4819585677192171
41,13,0.4824461670680849
41,15,0.4904277465545558
42,1,0.48198131542409045
42,3,0.4792131176322178
42,5,0.48664785941043315
42,7,0.4799615882226819
42,9,0.48741007629056626
42,11,0.48280777462369934
42,13,0.4862484979727148
42,15,0.4948677900964387
43,1,0.48141603383319126
43,3,0.4856907027688548
43,5,0.4856340207354443
43,7,0.4792739935100717
43,9,0.493291634399167
43,11,0.4923830338136856
43,13,0.4938734240921182
43,15,0.4903208486468006
44,1,0.48623244934159915
44,3,0.4855728857685495
44,5,0.4802186233010382
44,7,0.4790830499575297
44,9,0.49264997108355646
44,11,0.4856418960530061
44,13,0.48933790381741116
44,15,0.49201483471268154
45,1,0.5068371266159527
45,3,0.49281363434020287
45,5,0.49103792261385093
45,7,0.49508558053987006
45,9,0.4897174871622299
45,11,0.4814237382530008
45,13,0.48021369137301173
45,15,0.4796617752807896
46,1,0.5111739853896828
46,3,0.49737692592389793
46,5,0.49308868207965045
46,7,0.4948731698930274
46,9,0.4967387605513138
46,11,0.4851178225435414
46,13,0.4890711061590875
46,15,0.488316503941622
47,1,0.5089109268870463
47,3,0.4963318471783536
47,5,0.4924038772220441
47,7,0.49212412614242973
47,9,0.4907045716376907
47,11,0.485293334553156
47,13,0.4883959106787847
47,15,0.491565319979005
48,1,0.5103103223992782
48,3,0.5014438531312512
48,5,0.4999896918362446
48,7,0.5048236750891181
