Num_Features,k,F1_Validation
29,11,0.19843808758070466
29,13,0.19843808758070466
29,15,0.19843808758070466
30,1,0.19843808758070466
30,3,0.19843808758070466
30,5,0.19843808758070466
30,7,0.19843808758070466
30,9,0.19843808758070466
30,11,0.19843808758070466
30,13,0.19843808758070466
30,15,0.19843808758070466
31,1,0.19843808758070466
31,3,0.19843808758070466
31,5,0.19843808758070466
31,7,0.19843808758070466
31,9,0.19843808758070466
31,11,0.19843808758070466
31,13,0.19843808758070466
31,15,0.19843808758070466
32,1,0.19843808758070466
32,3,0.19843808758070466
32,5,0.19843808758070466
32,7,0.19843808758070466
32,9,0.19843808758070466
32,11,0.19843808758070466
32,13,0.19843808758070466
32,15,0.19843808758070466
33,1,0.19843808758070466
33,3,0.19843808758070466
33,5,0.19843808758070466
33,7,0.19843808758070466
33,9,0.19843808758070466
33,11,0.19843808758070466
33,13,0.19843808758070466
33,15,0.19843808758070466
34,1,0.19843808758070466
34,3,0.19843808758070466
34,5,0.19843808758070466
34,7,0.19843808758070466
34,9,0.19843808758070466
34,11,0.19843808758070466
34,13,0.19843808758070466
34,15,0.19843808758070466
35,1,0.19843808758070466
35,3,0.19843808758070466
35,5,0.19843808758070466
35,7,0.19843808758070466
35,9,0.19843808758070466
35,11,0.19843808758070466
35,13,0.19843808758070466
35,15,0.19843808758070466
36,1,0.19843808758070466
36,3,0.19843808758070466
36,5,0.19843808758070466
36,7,0.19843808758070466
36,9,0.19843808758070466
36,11,0.19843808758070466
36,13,0.19843808758070466
36,15,0.19843808758070466
37,1,0.19843808758070466
37,3,0.19843808758070466
37,5,0.19843808758070466
37,7,0.19843808758070466
37,9,0.19843808758070466
37,11,0.19843808758070466
37,13,0.19843808758070466
37,15,0.19843808758070466
38,1,0.19843808758070466
38,3,0.19843808758070466
38,5,0.19843808758070466
38,7,0.19843808758070466
38,9,0.19843808758070466
38,11,0.19843808758070466
38,13,0.19843808758070466
38,15,0.19843808758070466
39,1,0.19843808758070466
39,3,0.19843808758070466
39,5,0.19843808758070466
39,7,0.19843808758070466
39,9,0.19843808758070466
39,11,0.19843808758070466
39,13,0.19843808758070466
39,15,0.19843808758070466
40,1,0.19843808758070466
40,3,0.19843808758070466
40,5,0.19843808758070466
40,7,0.19843808758070466
40,9,0.19843808758070466
40,11,0.19843808758070466
40,13,0.19843808758070466
40,15,0.19843808758070466
41,1,0.19843808758070466
41,3,0.19843808758070466
41,5,0.19843808758070466
41,7,0.19843808758070466
41,9,0.19843808758070466
41,11,0.19843808758070466
41,13,0.19843808758070466
41,15,0.19843808758070466
42,1,0.19843808758070466
42,3,0.19843808758070466
42,5,0.19843808758070466
42,7,0.19843808758070466
42,9,0.19843808758070466
42,11,0.19843808758070466
42,13,0.19843808758070466
42,15,0.19843808758070466
43,1,0.19843808758070466
43,3,0.19843808758070466
43,5,0.19843808758070466
43,7,0.19843808758070466
43,9,0.19843808758070466
43,11,0.19843808758070466
43,13,0.19843808758070466
43,15,0.19843808758070466
44,1,0.19843808758070466
44,3,0.19843808758070466
44,5,0.19843808758070466
44,7,0.19843808758070466
44,9,0.19843808758070466
44,11,0.19843808758070466
44,13,0.19843808758070466
44,15,0.19843808758070466
45,1,0.19843808758070466
45,3,0.19843808758070466
45,5,0.19843808758070466
45,7,0.19843808758070466
45,9,0.19843808758070466
45,11,0.19843808758070466
45,13,0.19843808758070466
45,15,0.19843808758070466
46,1,0.19843808758070466
46,3,0.19843808758070466
46,5,0.19843808758070466
46,7,0.19843808758070466
46,9,0.19843808758070466
46,11,0.19843808758070466
46,13,0.19843808758070466
46,15,0.19843808758070466
47,1,0.19843808758070466
47,3,0.19843808758070466
47,5,0.19843808758070466
